,time,zerocol,pupil_high_low
3727,2.624,0,1
3728,2.628,0,1
3729,2.632,0,1
3730,2.636,0,1
3731,2.64,0,1
3732,2.644,0,1
3733,2.648,0,1
3734,2.652,0,1
3735,2.656,0,1
3736,2.66,0,1
3737,2.664,0,1
3738,2.668,0,1
3739,2.672,0,1
3740,2.676,0,1
3741,2.68,0,1
3742,2.684,0,1
3743,2.688,0,1
3744,2.692,0,1
3745,2.696,0,1
3746,2.7,0,1
3747,2.704,0,1
3748,2.708,0,1
3749,2.712,0,1
3750,2.716,0,1
3751,2.72,0,1
3752,2.724,0,1
3753,2.728,0,1
3754,2.732,0,1
3755,2.736,0,1
3756,2.74,0,1
3757,2.744,0,1
3758,2.748,0,1
3759,2.752,0,1
3760,2.756,0,1
3761,2.76,0,1
3762,2.764,0,1
3763,2.768,0,1
3764,2.772,0,1
3765,2.776,0,1
3766,2.78,0,1
3767,2.784,0,1
3768,2.788,0,1
3769,2.792,0,1
3770,2.796,0,1
3771,2.8,0,1
3772,2.804,0,1
3773,2.808,0,1
3774,2.812,0,1
3775,2.816,0,1
3776,2.82,0,1
3777,2.824,0,1
3778,2.828,0,1
3779,2.832,0,1
3780,2.836,0,1
3781,2.84,0,1
3782,2.844,0,1
3783,2.848,0,1
3784,2.852,0,1
3785,2.856,0,1
3786,2.86,0,1
3787,2.864,0,1
3788,2.868,0,1
3789,2.872,0,1
3790,2.876,0,1
3791,2.88,0,1
3792,2.884,0,1
3793,2.888,0,1
3794,2.892,0,1
3795,2.896,0,1
3796,2.9,0,1
3797,2.904,0,1
3798,2.908,0,1
3799,2.912,0,1
3800,2.916,0,1
3801,2.92,0,1
3802,2.924,0,1
3803,2.928,0,1
3804,2.932,0,1
3805,2.936,0,1
3806,2.94,0,1
3807,2.944,0,1
3808,2.948,0,1
3809,2.952,0,1
3810,2.956,0,1
3811,2.96,0,1
3812,2.964,0,1
3813,2.968,0,1
3814,2.972,0,1
3815,2.976,0,1
3816,2.98,0,1
3817,2.984,0,1
3818,2.988,0,1
3819,2.992,0,1
3820,2.996,0,1
3821,3.0,0,1
3822,3.004,0,1
3823,3.008,0,1
3824,3.012,0,1
3825,3.016,0,1
3826,3.02,0,1
3827,3.024,0,1
3828,3.028,0,1
3829,3.032,0,1
3830,3.036,0,1
3831,3.04,0,1
3832,3.044,0,1
3833,3.048,0,1
3834,3.052,0,1
3835,3.056,0,1
3836,3.06,0,1
3837,3.064,0,1
3838,3.068,0,1
3839,3.072,0,1
3840,3.076,0,1
3841,3.08,0,1
3842,3.084,0,1
3843,3.088,0,1
3844,3.092,0,1
3845,3.096,0,1
3846,3.1,0,1
3847,3.104,0,1
3848,3.108,0,1
3849,3.112,0,1
3850,3.116,0,1
3851,3.12,0,1
3852,3.124,0,1
3853,3.128,0,1
3854,3.132,0,1
3855,3.136,0,1
3856,3.14,0,1
3857,3.144,0,1
3858,3.148,0,1
3859,3.152,0,1
3860,3.156,0,1
3861,3.16,0,1
3862,3.164,0,1
3863,3.168,0,1
3864,3.172,0,1
3865,3.176,0,1
3866,3.18,0,1
3867,3.184,0,1
3868,3.188,0,1
3869,3.192,0,1
3870,3.196,0,1
3871,3.2,0,1
3872,3.204,0,1
3873,3.208,0,1
3874,3.212,0,1
3875,3.216,0,1
3876,3.22,0,1
3877,3.224,0,1
3878,3.228,0,1
3879,3.232,0,1
3880,3.236,0,1
3881,3.24,0,1
3882,3.244,0,1
3883,3.248,0,1
3884,3.252,0,1
3885,3.256,0,1
3886,3.26,0,1
3887,3.264,0,1
3888,3.268,0,1
3889,3.272,0,1
3890,3.276,0,1
3891,3.28,0,1
3892,3.284,0,1
3893,3.288,0,1
3894,3.292,0,1
3895,3.296,0,1
3896,3.3,0,1
3897,3.304,0,1
3898,3.308,0,1
3899,3.312,0,1
3900,3.316,0,1
3901,3.32,0,1
3902,3.324,0,1
3903,3.328,0,1
3904,3.332,0,1
3905,3.336,0,1
3906,3.34,0,1
3907,3.344,0,1
3908,3.348,0,1
3909,3.352,0,1
3910,3.356,0,1
3911,3.36,0,1
3912,3.364,0,1
3913,3.368,0,1
3914,3.372,0,1
3915,3.376,0,1
3916,3.38,0,1
3917,3.384,0,1
3918,3.388,0,1
3919,3.392,0,1
3920,3.396,0,1
3921,3.4,0,1
3922,3.404,0,1
3923,3.408,0,1
3924,3.412,0,1
3925,3.416,0,1
3926,3.42,0,1
3927,3.424,0,1
3928,3.428,0,1
3929,3.432,0,1
3930,3.436,0,1
3931,3.44,0,1
3932,3.444,0,1
3933,3.448,0,1
3934,3.452,0,1
3935,3.456,0,1
3936,3.46,0,1
3937,3.464,0,1
3938,3.468,0,1
3939,3.472,0,1
3940,3.476,0,1
3941,3.48,0,1
3942,3.484,0,1
3943,3.488,0,1
3944,3.492,0,1
3945,3.496,0,1
3946,3.5,0,1
3947,3.504,0,1
3948,3.508,0,1
3949,3.512,0,1
3950,3.516,0,1
3951,3.52,0,1
3952,3.524,0,1
3953,3.528,0,1
3954,3.532,0,1
3955,3.536,0,1
3956,3.54,0,1
3957,3.544,0,1
3958,3.548,0,1
3959,3.552,0,1
3960,3.556,0,1
3961,3.56,0,1
3962,3.564,0,1
3963,3.568,0,1
